District,prior_years_not_future,status_19_20,grades_19_20,status_20_21,grades_20_21
Saugus,,No,,No,
Savoy,,Yes,"K, 1, 3, & 4",Yes,12
Scituate,,No,,No,
Seekonk,,No,,No,
Sharon,,No,,No,
Sherborn,,No,,No,
Shrewsbury,*,No,,No,
Shutesbury,,Yes,,Yes,
Somerset,,No,,No,
Somerville,,No,,No,
Southampton,,Yes,,Yes,
Southborough,,No,,No,
Southbridge,,Yes,,Yes,
South Hadley,,Yes,11-Feb,Yes,"4-5, 7, & 9-11"
Springfield,,Yes,,Yes,
Stoneham,,No,,No,
Stoughton,,No,,No,
Sturbridge,,No,,No,
Sudbury,,No,,No,
Sunderland,,Yes,K-6,Yes,K-6
Sutton,,Yes,9,Yes,9
Swampscott,,No,,No,
Swansea,*,Yes,12-Sep,No,
Taunton,,Yes,,Yes,
Tewksbury,,No,,No,
Tisbury,,Yes,,Yes,
Topsfield,,No,,No,
Truro,,Yes,,Yes,
Tyngsborough,,Yes,"7-9, 11, & 12",Yes,6 & 8-12
Uxbridge,,Yes,,Yes,K-12
Wakefield,,No,,No,
Wales,,Yes,3-Jan,Yes,3-Jan
Walpole,,No,,No,
Waltham,,No,,No,
Ware,,Yes,,Yes,
Wareham,,Yes,,Yes,K-12
Watertown,,No,,No,
Wayland,,No,,No,
Webster,,Yes,,Yes,7 & 9-12
Wellesley,,No,,No,
Wellfleet,,Yes,1,Yes,K
Westborough,,No,,No,
West Boylston,,Yes,,Yes,
West Bridgewater,,Yes,,Yes,
Westfield,,Yes,"1, 2, 4-12",Yes,K-12
Westford,*,No,,No,
Westhampton,,Yes,,Yes,
Weston,,No,,No,
Westport,*,Yes,11-Sep,No,
West Springfield,*,No,,No,
Westwood,,No,,No,
Weymouth,,No,,No,
Whately,,Yes,K-6,Yes,
Williamsburg,,Yes,,Yes,
Wilmington,,No,,No,
Winchendon,,Yes,,Yes,
Winchester,,No,,No,
Winthrop,,No,,No,
Woburn,,No,,No,
Worcester,,Yes,,Yes,
Worthington,,Yes,,Yes,
Wrentham,,No,,No,
Northampton Smith,,No,,No,
Acton Boxborough,,Yes,K,Yes,K
Hoosac Valley,,Yes,,Yes,K-12
Amherst Pelham,*,Yes,,No,
Ashburnham Westminster,,Yes,"K, 1, & 7-12",Yes,9
Athol Royalston,,Yes,,Yes,
Ayer Shirley,,Yes,K & 12,Yes,
Berkshire Hills,,Yes,,Yes,
Berlin,,Yes,"K-2, 4-6, & 9",Yes,"K, 3, 6, & 9-10"
Boylston,,Yes,"K-2, 4-6, & 9",Yes,"K, 3, 6, & 9-10"
Blackstone Millville,,Yes,,Yes,
Bridgewater Raynham,,No,12-Sep,Yes,12-Sep
Chesterfield Goshen,,Yes,,Yes,
Central Berkshire,,Yes,,Yes,K & 3
Concord Carlisle,,No,,No,
Dennis Yarmouth,,Yes,,Yes,
Dighton Rehoboth,,Yes,,Yes,12-Sep
Dover Sherborn,,No,,No,
Dudley Charlton,,Yes,9-Jul,Yes,12-May
Nauset/Provincetown,,Yes,6 & 9,Yes,6-7 & 9-10
Farmington River,,Yes,,Yes,
Freetown Lakeville,,Yes,,Yes,4 & 6-11
Frontier,,Yes,12-Jul,Yes,12-Jul
Gateway,,Yes,,Yes,
Groton Dunstable,*,Yes,9 & 10,No,
Gill Montague,,Yes,,Yes,
Hamilton Wenham,,Yes,12-Jun,Yes,12-Jun
Hampden Wilbraham,,Yes,1 & 9,Yes,9
Hampshire,,Yes,,Yes,
Hawlemont,,Yes,"K, 1, & 6",Yes,K & 12
King Philip,,No,,No,
Lincoln Sudbury,,No,,No,
Manchester Essex,,Yes,K-5,Yes,
Martha's Vineyard,,Yes,,Yes,
Masconomet,,No,,Yes,9-Aug
Mendon Upton,,Yes,,Yes,"K, 5-6, & 9"
Monomoy,,Yes,,Yes,
Mount Greylock/New Lebanon (NY),,Yes,K & 2,Yes,K
Mohawk Trail,,Yes,,Yes,
Narragansett,,Yes,,Yes,K
Nashoba,*,No,,No,
New Salem Wendell,*,No,,No,
Northborough Southborough,,No,,No,
North Middlesex,,Yes,,Yes,K-12
Old Rochester,,Yes,9-Jul,Yes,
Pentucket,*,No,,No,
Pioneer Valley,,Yes,12-Jan,Yes,"1, 3, & 5-11"
Quabbin,,Yes,,Yes,
Ralph C. Mahar,,Yes,12-Jul,Yes,7-9 & 11-12
Silver Lake,,No,,No,
Somerset Berkley,,Yes,9,Yes,9
Southern Berkshire,,Yes,"K-3, 5, & 7-12",Yes,
Southwick Tolland Granville,,Yes,"K, 3, & 5-11",Yes,"K-1, 3, & 7-11"
Spencer East Brookfield,,Yes,,Yes,
